id,previous_checkpoint,train_set_performance,dev_set_performance,created_at,notes
45,44,0.03932562470436096,0.03849111124873161,2018-06-04 04:25:43.817965,Adam learning_rate=0.01 weight_decay=0.001
46,45,0.0389912948012352,0.03824777156114578,2018-06-04 04:31:53.343031,Adam learning_rate=0.01 weight_decay=0.001
47,46,0.038662247359752655,0.0378924198448658,2018-06-04 04:38:03.309925,Adam learning_rate=0.01 weight_decay=0.001
48,47,0.03853174299001694,0.03777776658535004,2018-06-04 04:44:10.205055,Adam learning_rate=0.01 weight_decay=0.001
49,48,0.03796516731381416,0.03730708733201027,2018-06-04 04:50:11.947103,Adam learning_rate=0.01 weight_decay=0.001
50,49,0.037456490099430084,0.0368686318397522,2018-06-04 04:56:19.697185,Adam learning_rate=0.01 weight_decay=0.001
51,50,0.03782331943511963,0.037169650197029114,2018-06-04 05:02:20.889158,Adam learning_rate=0.01 weight_decay=0.001
52,51,0.037464872002601624,0.03680701553821564,2018-06-04 05:08:40.158064,Adam learning_rate=0.01 weight_decay=0.001
53,52,0.03713012486696243,0.036576613783836365,2018-06-04 05:14:33.114135,Adam learning_rate=0.001 weight_decay=0.001
54,53,0.03693311661481857,0.036410726606845856,2018-06-04 05:19:57.733943,Adam learning_rate=0.001 weight_decay=0.001
55,54,0.03680801764130592,0.03629777207970619,2018-06-04 05:25:24.230779,Adam learning_rate=0.001 weight_decay=0.001
56,55,0.03674529865384102,0.036235224455595016,2018-06-04 05:30:51.202247,Adam learning_rate=0.001 weight_decay=0.001
57,56,0.03660612925887108,0.03613800182938576,2018-06-04 05:36:21.738308,Adam learning_rate=0.001 weight_decay=0.001
58,57,0.03661535307765007,0.036112211644649506,2018-06-04 05:42:06.977774,Adam learning_rate=0.001 weight_decay=0.001
59,58,0.03552447631955147,0.0352124348282814,2018-06-04 05:51:54.673851,Adam learning_rate=0.001 weight_decay=0.0001
60,59,0.035024311393499374,0.03473086282610893,2018-06-04 05:58:20.059262,Adam learning_rate=0.001 weight_decay=0.0001
